,X,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,XLogP.1,Ro5,Ghose,Veber,Blood,Skin,Brain,Testis,AdiposeTissue,Muscle,Nerve,BloodVessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,Vagina,Stomach,AdrenalGland,Colon,Prostate,Spleen,Liver,FallopianTube,Ovary,Breast,Bladder,CervixUteri,SmallIntestine,SalivaryGland,lossFreq,maxBtwn,maxDegree,nTargets,wQED,response,PC1,PC2,PC3
56,Warfarin,308.104859,2.744707362,1,3,63.6,0,3,4,86.8601,0.0472,0,0,1,0.2381784469,0.536906898,0.2758550942,0.3182540536,0.3264465034,0.06741621345,0.4521215856,0.5059162974,0.1409743279,0.435193181,0.2506980002,0.3579629958,0.3150117546,0.5373604298,0.3899290562,0.3918560147,0.355813235,0.2934123874,0.2850091904,0.2907279283,0.2829725742,0.3689509928,0.9883170426,0.4264245182,0.4300459325,0.3567806184,0.4782493412,0.5002219081,0.4926404655,0.3573836684,0.5098039216,0,0,1,0.411,1,-5.527416719,0.01732789198,-0.02532971734
57,Tramadol,263.188529,2.449861499,1,3,32.7,0,2,4,78.2692,0.75,0,0,0,0.08421190083,0.103767857,1.592312932,2.973424554,0.2683250904,0.03720039129,0.2866982222,0.1363732666,0.1150825396,10,0.3450344801,0.1321847029,0.4213169813,0.1195273474,0.1895107552,0.4938296974,0.1533009037,0.5134895444,0.1190577224,0.2466080338,0.1974725649,0.2946594507,0.09774199873,0.1497315913,0.2251442671,0.3553661108,0.6153354645,0.1766323894,1.802167773,0.4592987597,0.6710526316,23664.94249,40,9,0.094,0,-5.037257596,-0.4814876996,0.3764580939
58,Cabazitaxel,835.3779055,4.203043962,3,10,202.45,0,6,15,213.4041,0.00413,1,1,1,10,10,10,10,2.090616226,10,1.6202209,5.525468349,10,5.492965698,10,5.608840227,2.538689256,4.797114134,2.370813847,2.097118616,10,6.90339613,5.482376814,8.037258625,4.278552294,10,3.35094142,3.488976836,2.341186523,2.932049274,5.741491795,2.371202946,7.497985363,7.349394798,0.6918918919,863890.5709,2232,2,0.824,0,2.064331805,-3.089200251,0.06180410869
59,Ixabepilone,506.2814432,3.393573154,3,6,112.05,0,3,2,136.7098,0.00352,1,1,1,0.01096767373,0.4549292624,1.591126442,2.74003458,0.0633065626,0.00835967157,0.1159734391,0.04719390348,0.06468007714,0.103264235,0.09177792072,0.1646531522,0.08655485138,2.773865461,0.06998313963,0.03670098633,0.06527288258,0.09111642092,0.4874910265,0.1358551458,0.06378469989,0.0499490425,0,0.05323305354,0.07091725618,0.04333439469,0.04184461758,0.04391001165,0.1500696987,0.32360515,0.358974359,261851.8872,1564,1,0.469,0,-5.619680314,-0.3042309073,-0.5266790616
60,Lenalidomide,259.0956913,-0.707852159,2,4,92.5,0,3,1,68.2981,2.33,0,1,1,1.025086284,3.119722009,3.701131105,6.344938755,10,6.338674545,10,5.995434761,10,10,8.043983459,6.523864031,10,3.730526328,10,2.426759005,7.769799709,5.509750366,7.047891617,5.064837933,6.805960655,9.955050945,2.707627892,10,3.104855776,10,7.278105736,10,8.767349243,5.800363541,0.4705882353,51384.35476,48,3,0.542,1,3.395480483,1.317012887,0.647270451
61,Temsirolimus,1029.602486,7.129959347,4,14,241.96,0,4,11,277.0665,0.00235,1,1,1,1.981466413,5.861584663,6.422432423,10,6.056996346,7.712878227,7.452227831,6.070045948,5.281524658,6.405892849,6.781961918,6.117788792,7.618876696,8.474413395,6.986742496,3.826494932,5.339693785,6.364003658,6.893230438,7.138198614,7.709730387,6.564596176,4.559212923,6.455892801,5.201941967,6.678822041,6.915325165,5.599118233,7.502036095,5.954916954,0.2762557078,145928.6012,166,1,0.872,0,2.615584444,-0.4969920315,-0.7018960992
62,Dronedarone,556.2970932,5.277915882,1,5,88.85,0,3,17,158.1284,0.00201,1,1,1,1.579659462,5.015745878,10,10,10,10,8.159985542,10,10,7.986379623,8.714754105,10,6.017980099,10,10,10,10,3.671730042,10,9.502849579,10,10,7.432229042,10,10,10,8.242862701,10,6.593607426,5.810112476,0.55625,48947.977,104,18,0.881,0,5.579992256,0.9315969841,-1.785499031
63,Paclitaxel,853.3309553,3.53884002,4,10,221.29,0,7,14,218.2945,0.00556,1,1,1,3.259106874,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.6918918919,243334.2738,1034,6,0.863,1,7.188166488,-0.1238293922,-0.8631380463
64,Atorvastatin,557.2451754,5.387146767,3,5,114.62,-1,4,12,169.0355,0.000495,1,1,1,5.512534618,10,10,10,10,1.419259548,10,8.115207672,3.59850502,10,6.420648575,6.53853631,10,6.476886272,5.329864264,4.215137959,10,8.793976784,10,10,7.14008379,7.309770584,8.529820442,9.736486435,5.070178986,10,10,9.775000572,8.142712593,8.635258675,0.3720930233,5260.662567,68,2,0.761,0,4.858957944,-0.2452983838,0.5963924549
65,Ethanol,46.04186481,-0.161769114,1,1,20.23,0,0,0,13.0099,579,0,1,0,0.3543435633,10,10,1.352948725,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7.667934418,10,10,10,10,10,10,10,10,10,0.58,8267.844533,28,7,0.607,1,6.599114313,0.5120998766,-0.38901872
